Transaction Month and Year,Make,Model,Model Year,Vehicle Color,Vehicle Type,Vehicle Primary Use,Fuel Type Primary,Fuel Type Secondary,Gross Vehicle Weight Rating Class,Gross Vehicle Weight Rating Range (lbs),Electrification Level,Plate Background,Plate Configuration,Owner Type,County,State,Postal Code,Transaction Type,Transaction Channel,2020 GEOID,Transaction Count
2024-02-01,DODGE,DAKOTA,2000,BRONZE,TRUCK,Truck,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Lewis,WA,98531,Registration Renewal,In-person,53041970400,1
2024-01-01,TOYOTA,4-RUNNER,2016,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98375,Registration at time of Transfer,In-person,53053071310,1
2023-11-01,TOYOTA,TUNDRA,2013,GRAY,TRUCK,Truck,Gasoline,,2,"6,001 - 10,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98391,Registration Renewal,Online,53053070313,1
2024-02-01,HONDA,ODYSSEY,2014,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Walla Walla,WA,99362,Registration Renewal,In-person,53071920600,1
2024-06-01,TOYOTA,COROLLA,2018,WHITE,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98103,Original Registration,In-person,53033002700,1
2024-03-01,TESLA,MODEL Y,2024,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Electric,,1D,"5,001 - 6,000",BEV (Battery Electric Vehicle),Standard Plate,Standard,Individual Owner,King,WA,98155,Original Registration,In-person,53033021100,1
2024-05-01,BMW,330I,2023,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Personalized Plate,Personalized,Business Owner,Pierce,WA,98321,Original Registration,In-person,53053070205,1
2023-09-01,HONDA,CR-V,2020,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Hybrid,Electric,1C,"4,001 - 5,000",Strong HEV (Hybrid Electric Vehicle),Standard Plate,Standard,Individual Owner,Kitsap,WA,98367,Registration Renewal,Online,53035092801,1
2024-06-01,HONDA,VF750C2 (MAGNA),1999,,MOTORCYCLE,Motorcycle,Gasoline,,1A,"3,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Thurston,WA,98597,Registration Renewal,Online,53067012532,1
2024-02-01,FORD,RANGER,2002,BLACK,TRUCK,Truck,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98664,Registration Renewal,Mail-in,53011043000,1
2024-01-01,OLDSMOBILE,CUTLASS SUPREME,1993,WHITE,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clallam,WA,98331,Registration at time of Transfer,In-person,53009000300,1
2024-02-01,FORD,F-150,2015,,TRUCK,Truck,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98407,Registration Renewal,In-person,53053060500,1
2023-12-01,DODGE,GRAND CARAVAN,2012,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98042,Registration Renewal,In-person,53033031707,1
2024-03-01,MAZDA,CX-9,2014,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98604,Registration Renewal,Online,53011040414,1
2024-07-01,MAZDA,MAZDA6,2007,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98671,Registration Renewal,Online,53011040510,1
2024-08-01,HONDA,CIVIC,2002,BLACK,PASSENGER CAR,Passenger Vehicle,Gasoline,,1B,"3,001 - 4,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Asotin,WA,99403,Registration at time of Transfer,In-person,53003960600,1
2024-04-01,HYUNDAI,TUCSON,2020,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),4H,Standard,Individual Owner,Skagit,WA,98232,Registration Renewal,Online,53057950802,1
2023-10-01,CHEVROLET,SILVERADO,2006,ALUMINUM / SILVER,TRUCK,Truck,Diesel,,2H,"9,001 - 10,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Lewis,WA,98591,Registration Renewal,Online,53041971700,1
2023-11-01,KIA,TELLURIDE,2022,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Franklin,WA,99301,Registration at time of Transfer,In-person,53021020603,1
2023-10-01,TOYOTA,TUNDRA,2017,,TRUCK,Truck,Gasoline,,2F,"7,001 - 8,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98661,Registration Renewal,Online,53011042800,1
2023-09-01,TOYOTA,RAV4,2020,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Hybrid,Electric,1C,"4,001 - 5,000",HEV (Hybrid Electric Vehicle) - Level Unknown,Standard Plate,Standard,Individual Owner,King,WA,98006,Registration Renewal,Online,53033024905,1
2024-08-01,JEEP,GRAND CHEROKEE,2018,RED,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Flexible Fuel Vehicle (FFV),,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98387,Registration at time of Transfer,In-person,53053071403,1
2023-11-01,TOYOTA,AVALON,1998,MAROON / BURGUNDY,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98168,Registration Renewal,Online,53033026400,1
2024-05-01,VOLKSWAGEN,RABBIT,2009,WHITE,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Unknown or Out of State,VA,23505,Registration Renewal,Online,51710001200,1
2023-09-01,NISSAN,MAXIMA,2002,MAROON / BURGUNDY,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98030,Registration Renewal,In-person,53033029506,1
2023-11-01,BMW,X5,2024,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Eastern Washington University,Standard,Individual Owner,Benton,WA,99352,Original Registration,In-person,53005010811,1
2024-07-01,MERCEDES-BENZ,E-CLASS,2008,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98661,Registration at time of Transfer,In-person,53011042700,1
2024-01-01,SUBARU,FORESTER,2014,GRAY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Disabled Parking,Standard,Individual Owner,Mason,WA,98584,Registration Renewal,In-person,53045961102,1
2024-04-01,NISSAN,ROGUE,2019,BLUE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Whatcom,WA,98247,Registration Renewal,In-person,53073010202,1
2024-08-01,FORD,F-150,2005,,TRUCK,Truck,Gasoline,,2F,"7,001 - 8,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98604,Registration Renewal,In-person,53011040408,1
2024-06-01,TOYOTA,COROLLA,2015,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98204,Registration Renewal,In-person,53061041815,1
2024-07-01,SUBARU,IMPREZA,2019,WHITE,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98292,Registration Renewal,Online,53061053302,1
2024-04-01,GMC,SIERRA,2005,WHITE,TRUCK,Truck,Gasoline,,2H,"9,001 - 10,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Business Owner,Unknown or Out of State,WA,98926,Registration Renewal,In-person,53037975600,1
2023-12-01,NISSAN,SENTRA,2005,GRAY,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Grays Harbor,WA,98520,Registration Renewal,Online,53027000900,1
2024-04-01,JEEP,PATRIOT,2008,BLUE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98387,Registration Renewal,In-person,53053073115,1
2023-09-01,JEEP,GRAND CHEROKEE,1999,BLUE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Grant,WA,98837,Registration Renewal,Online,53025010904,1
2023-09-01,NISSAN,XTERRA,2003,ALUMINUM / SILVER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98106,Registration Renewal,In-person,53033011402,1
2024-03-01,CHEVROLET,SILVERADO,2008,WHITE,TRUCK,Truck,Diesel,,3,"10,001 - 14,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Unknown or Out of State,CA,91354,Registration Renewal,Online,06037920120,1
2024-03-01,TOYOTA,CAMRY,1997,GRAY,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98155,Registration Renewal,In-person,53033020500,1
2023-10-01,CHEVROLET,GMT-400,1991,WHITE,TRUCK,Truck,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Chelan,WA,98801,Registration at time of Transfer,In-person,53007961102,1
2023-12-01,SUBARU,FORESTER,2023,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Yakima,WA,98942,Original Registration,In-person,53077003400,1
2024-04-01,HONDA,CR-V,2019,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98020,Registration Renewal,Online,53061050502,1
2023-09-01,FORD,F-350,1996,TAN,TRUCK,Truck,Gasoline,,2H,"9,001 - 10,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98022,Registration Renewal,Mail-in,53033031301,1
2023-10-01,TOYOTA,TUNDRA,2011,BLACK,TRUCK,Truck,Gasoline,,2,"6,001 - 10,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98290,Registration Renewal,In-person,53061052607,1
2024-03-01,CHEVROLET,EQUINOX,2016,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Skagit,WA,98274,Registration Renewal,In-person,53057952405,1
2024-03-01,HYUNDAI,ELANTRA,2010,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Kitsap,WA,98370,Registration Renewal,In-person,53035090501,1
2023-12-01,SUBARU,CROSSTREK,2023,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Mason,WA,98548,Registration Renewal,Online,53045960201,1
2024-07-01,TOYOTA,PICK-UP,1994,ALUMINUM / SILVER,TRUCK,Truck,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Cowlitz,WA,98632,Registration Renewal,Online,53015000702,1
2023-11-01,INFINITI,QX4,2001,GOLD,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98445,Registration Renewal,In-person,53053071603,1
2023-09-01,CHEVROLET,TRAVERSE,2020,GRAY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98424,Registration Renewal,In-person,53053940013,1
2023-09-01,LINCOLN,MKX,2014,ALUMINUM / SILVER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Grays Harbor,WA,98550,Registration Renewal,In-person,53027001500,1
2024-01-01,LEXUS,IS,2019,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Yakima,WA,98901,Registration at time of Transfer,In-person,53077001602,1
2023-10-01,GMC,SIERRA,2001,GRAY,TRUCK,Truck,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Grant,WA,98823,Registration Renewal,In-person,53025010402,1
2023-12-01,JEEP,PATRIOT,2013,WHITE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98133,Registration at time of Transfer,In-person,53033000602,1
2023-12-01,KIA,SORENTO,2016,GRAY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Thurston,WA,98512,Registration Renewal,In-person,53067011821,1
2023-11-01,FORD,F-250,2015,,TRUCK,Truck,Diesel,,2H,"9,001 - 10,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Benton,WA,99353,Registration Renewal,Mail-in,53005010707,1
2023-10-01,JEEP,PATRIOT,2014,BLACK,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98290,Registration at time of Transfer,In-person,53061052302,1
2024-06-01,BMW,K 1600 GT,2022,WHITE,MOTORCYCLE,Motorcycle,Gasoline,,1A,"3,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98010,Original Registration,In-person,53033031603,1
2023-09-01,RAM,3500,2016,IVORY,TRUCK,Truck,Diesel,,3,"10,001 - 14,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98296,Registration Renewal,Online,53061052112,1
2023-12-01,CHEVROLET,SILVERADO,2013,WHITE,TRUCK,Truck,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Franklin,WA,99301,Registration Renewal,In-person,53021020102,1
2024-02-01,TOYOTA,COROLLA,2006,RED,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Yakima,WA,98902,Registration Renewal,In-person,53077001100,1
2024-04-01,MITSUBISHI,LANCER,2008,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98642,Registration at time of Transfer,In-person,53011040303,1
2024-08-01,MAZDA,MAZDA3,2017,GRAY,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Whatcom,WA,98244,Registration Renewal,Online,53073010103,1
2024-02-01,FORD,E-350,2004,WHITE,TRUCK,Truck,Gasoline,,2H,"9,001 - 10,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Thurston,WA,98501,Registration Renewal,In-person,53067011200,1
2024-07-01,TOYOTA,CAMRY,2015,BLUE,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Stevens,WA,99013,Registration at time of Transfer,In-person,53065941000,1
2024-07-01,TOYOTA,RAV4,2023,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98258,Registration Renewal,Online,53061052603,1
2023-11-01,SUBARU,LEGACY,2019,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98208,Registration Renewal,Mail-in,53061041609,1
2023-12-01,FORD,FIESTA,2012,WHITE,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98133,Registration Renewal,Online,53033021000,1
2024-02-01,FORD,F-150,1994,WHITE,TRUCK,Truck,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98686,Registration at time of Transfer,In-person,53011040811,1
2024-05-01,GMC,TERRAIN,2014,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,Ethanol (E85),1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pacific,WA,98638,Registration Renewal,Mail-in,53049950400,1
2023-11-01,TOYOTA,LAND CRUISER,1994,WHITE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Whatcom,WA,98226,Registration Renewal,Online,53073000803,1
2024-04-01,KIA,SORENTO,2005,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98374,Registration at time of Transfer,In-person,53053073110,1
2024-04-01,KIA,SPECTRA,2008,BLUE,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Spokane,WA,99205,Registration at time of Transfer,In-person,53063001000,1
2024-02-01,HONDA,ACCORD,2009,ALUMINUM / SILVER,PASSENGER CAR,Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98374,Registration Renewal,In-person,53053071209,1
2023-10-01,CHEVROLET,CORVETTE,2003,YELLOW,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98391,Registration Renewal,Mail-in,53053070314,1
2024-07-01,KIA,SORENTO,2006,BLACK,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Island,WA,98236,Registration Renewal,In-person,53029972100,1
2023-12-01,CADILLAC,CTS,2010,ALUMINUM / SILVER,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Spokane,WA,99212,Registration Renewal,Online,53063011301,1
2024-01-01,HONDA,ODYSSEY,2000,BEIGE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98033,Registration Renewal,In-person,53033022604,1
2024-01-01,TOYOTA,HIGHLANDER,2019,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,Electric,2E,"6,001 - 7,000",Strong HEV (Hybrid Electric Vehicle),Standard Plate,Standard,Individual Owner,King,WA,98126,Registration Renewal,Online,53033009802,1
2023-09-01,HONDA,ACCORD,2018,RED,PASSENGER CAR,Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Kitsap,WA,98366,Registration Renewal,In-person,53035092400,1
2023-11-01,TOYOTA,TACOMA,2007,ALUMINUM / SILVER,TRUCK,Truck,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),WA Wildlife Bear,Standard,Individual Owner,Douglas,WA,98858,Registration Renewal,In-person,53017950200,1
2024-02-01,SUBARU,OUTBACK,2016,GRAY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clallam,WA,98363,Registration Renewal,Online,53009001500,1
2024-01-01,FORD,RANGER,1997,,TRUCK,Truck,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Grays Harbor,WA,98550,Registration Renewal,In-person,53027001300,1
2024-05-01,TOYOTA,COROLLA MATRIX,2007,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Grant,WA,99349,Registration Renewal,In-person,53025011403,1
2024-07-01,FORD,FUSION,2016,"BLUE,DARK",PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Yakima,WA,98951,Registration Renewal,In-person,53077940007,1
2024-02-01,LAND ROVER,RANGE ROVER,2019,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98022,Registration Renewal,In-person,53033031301,1
2023-11-01,FORD,FUSION,2012,BLUE,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98290,Registration Renewal,In-person,53061052401,1
2024-04-01,CHEVROLET,SUBURBAN,2001,WHITE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,2F,"7,001 - 8,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Grant,WA,99349,Registration Renewal,In-person,53025011406,1
2023-11-01,FORD,F-350,2019,,TRUCK,Truck,Diesel,,3,"10,001 - 14,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98070,Registration Renewal,Online,53033027702,1
2023-11-01,MERCEDES-BENZ,C-CLASS,2010,WHITE,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Island,WA,98282,Registration Renewal,In-person,53029971500,1
2024-05-01,FORD,ESCAPE,2023,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Hybrid,Gasoline,1C,"4,001 - 5,000",PHEV (Plug-in Hybrid Electric Vehicle),Standard Plate,Standard,Business Owner,Thurston,WA,98516,Registration Renewal,Online,53067012225,1
2024-07-01,AUDI,Q5,2018,WHITE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98105,Registration Renewal,Online,53033004202,1
2024-07-01,MAZDA,CX-5,2022,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98042,Registration Renewal,Online,53033032006,1
2024-05-01,TOYOTA,TUNDRA,2015,BLACK,TRUCK,Truck,Gasoline,,2,"6,001 - 10,000",ICE (Internal Combustion Engine),Disabled Parking,Standard,Individual Owner,Grays Harbor,WA,98563,Registration Renewal,In-person,53027000402,1
2023-11-01,MERCEDES-BENZ,GLC-CLASS,2020,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Thurston,WA,98502,Original Registration,In-person,53067012001,1
2023-09-01,YAMAHA,YZF-R1,2007,,MOTORCYCLE,Motorcycle,Gasoline,,1A,"3,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Okanogan,WA,99116,Registration Renewal,Online,53047940100,1
2024-03-01,TOYOTA,RAV4,2013,GRAY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98055,Registration Renewal,Online,53033029308,1
2024-08-01,SUBARU,OUTBACK,2008,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Douglas,WA,98802,Registration Renewal,In-person,53017950800,1
2024-06-01,KIA,SOUL,2013,BLACK,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1B,"3,001 - 4,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98031,Registration Renewal,In-person,53033029406,1
2024-07-01,TOYOTA,HIGHLANDER,2022,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Hybrid,Electric,1D,"5,001 - 6,000",HEV (Hybrid Electric Vehicle) - Level Unknown,Standard Plate,Standard,Individual Owner,Snohomish,WA,98012,Registration Renewal,In-person,53061051927,1
2023-10-01,FORD,F-250,2022,,TRUCK,Truck,Gasoline,,2H,"9,001 - 10,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98272,Registration Renewal,In-person,53061052204,1
2024-05-01,CHEVROLET,HHR,2008,WHITE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Lewis,WA,98531,Registration Renewal,In-person,53041970700,1
2024-06-01,HYUNDAI,SONATA,2012,RED,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98133,Registration Renewal,In-person,53033021000,1
